"solarSystemID";"solarSystemName";"class";"effect";"static1";"static2"
"31000184";"J102630";"1";;"N110";
"31000183";"J144632";"1";;"N110";
"31000182";"J150827";"1";;"N110";
"31000181";"J165056";"1";;"N110";
"31000180";"J150745";"1";;"N110";
"31000179";"J213342";"1";;"N110";
"31000178";"J134330";"1";;"N110";
"31000177";"J160345";"1";;"N110";
"31000176";"J152006";"1";;"N110";
"31000164";"J114546";"1";;"N110";
"31000163";"J104628";"1";;"N110";
"31000162";"J171700";"1";;"N110";
"31000150";"J120734";"1";;"N110";
"31000149";"J161115";"1";;"N110";
"31000148";"J130931";"1";;"N110";
"31000147";"J122659";"1";;"N110";
"31000146";"J160835";"1";;"N110";
"31000145";"J160710";"1";;"N110";
"31000144";"J105632";"1";;"N110";
"31000143";"J112913";"1";;"N110";
"31000142";"J161811";"1";;"N110";
"31000151";"J110906";"1";;"N110";
"31000152";"J121418";"1";;"N110";
"31000161";"J133653";"1";;"N110";
"31000160";"J115815";"1";;"N110";
"31000159";"J144704";"1";;"N110";
"31000158";"J213555";"1";"Black Hole";"N110";
"31000157";"J110108";"1";;"N110";
"31000156";"J110101";"1";;"N110";
"31000155";"J172240";"1";;"N110";
"31000154";"J113506";"1";;"N110";
"31000153";"J113820";"1";;"N110";
"31000141";"J140831";"1";;"N110";
"31000039";"J101453";"1";;"J244";
"31000037";"J160534";"1";;"J244";
"31000036";"J131854";"1";"Black Hole";"J244";
"31000035";"J125428";"1";;"J244";
"31000034";"J221203";"1";"Black Hole";"Z060";
"31000033";"J101729";"1";;"Z060";
"31000032";"J143204";"1";;"Z060";
"31000031";"J153001";"1";;"Z060";
"31000030";"J112628";"1";"Wolf-Rayet Star";"Z060";
"31000029";"J155023";"1";;"Z060";
"31000038";"J144855";"1";;"J244";
"31000040";"J144913";"1";;"J244";
"31000049";"J150131";"1";;"J244";
"31000048";"J145337";"1";;"J244";
"31000047";"J171818";"1";"Magnetar";"J244";
"31000046";"J163203";"1";"Cataclysmic Variable";"J244";
"31000045";"J224324";"1";;"J244";
"31000044";"J105521";"1";"Red Giant";"J244";
"31000043";"J125713";"1";;"J244";
"31000042";"J135411";"1";"Magnetar";"J244";
"31000041";"J144530";"1";;"J244";
"31000028";"J233317";"1";"Wolf-Rayet Star";"Z060";
"31000027";"J164807";"1";;"Z060";
"31000015";"J205818";"1";;"Z060";
"31000014";"J134312";"1";"Magnetar";"Z060";
"31000013";"J102655";"1";;"Z060";
"31000012";"J134914";"1";;"Z060";
"31000011";"J114700";"1";;"Z060";
"31000010";"J160837";"1";;"Z060";
"31000009";"J225046";"1";;"Z060";
"31000008";"J100744";"1";"Cataclysmic Variable";"Z060";
"31000007";"J105443";"1";;"Z060";
"31000016";"J113434";"1";;"Z060";
"31000017";"J105711";"1";"Cataclysmic Variable";"Z060";
"31000026";"J162604";"1";;"Z060";
"31000025";"J204640";"1";"Black Hole";"Z060";
"31000024";"J155429";"1";;"Z060";
"31000023";"J222914";"1";"Pulsar";"Z060";
"31000022";"J121358";"1";;"Z060";
"31000021";"J135038";"1";;"Z060";
"31000020";"J111301";"1";"Cataclysmic Variable";"Z060";
"31000019";"J154535";"1";"Black Hole";"Z060";
"31000018";"J164218";"1";;"Z060";
"31000050";"J130842";"1";;"J244";
"31000051";"J145406";"1";;"J244";
"31000095";"J130602";"1";;"J244";
"31000083";"J110750";"1";;"J244";
"31000082";"J123454";"1";"Wolf-Rayet Star";"J244";
"31000081";"J113653";"1";;"J244";
"31000080";"J121131";"1";"Wolf-Rayet Star";"J244";
"31000079";"J144303";"1";;"J244";
"31000078";"J161257";"1";"Red Giant";"J244";
"31000077";"J160039";"1";;"J244";
"31000076";"J101336";"1";"Cataclysmic Variable";"J244";
"31000075";"J154029";"1";;"J244";
"31000084";"J151106";"1";"Magnetar";"J244";
"31000085";"J100040";"1";"Black Hole";"J244";
"31000094";"J222206";"1";;"J244";
"31000093";"J103151";"1";"Pulsar";"J244";
"31000092";"J170645";"1";;"J244";
"31000091";"J133030";"1";"Cataclysmic Variable";"J244";
"31000090";"J210436";"1";;"J244";
"31000089";"J143202";"1";;"J244";
"31000088";"J134446";"1";;"J244";
"31000087";"J110431";"1";"Cataclysmic Variable";"J244";
"31000086";"J223733";"1";;"J244";
"31000074";"J140121";"1";"Magnetar";"J244";
"31000073";"J105936";"1";"Red Giant";"J244";
"31000072";"J114033";"1";"Wolf-Rayet Star";"J244";
"31000061";"J125843";"1";;"J244";
"31000060";"J154226";"1";;"J244";
"31000059";"J142701";"1";;"J244";
"31000058";"J130714";"1";"Black Hole";"J244";
"31000057";"J233828";"1";;"J244";
"31000056";"J144938";"1";;"J244";
"31000055";"J232605";"1";;"J244";
"31000054";"J124926";"1";"Cataclysmic Variable";"J244";
"31000053";"J112124";"1";;"J244";
"31000062";"J155459";"1";;"J244";
"31000052";"J103404";"1";"Wolf-Rayet Star";"J244";
"31000071";"J233550";"1";;"J244";
"31000070";"J105039";"1";"Pulsar";"J244";
"31000069";"J113721";"1";;"J244";
"31000068";"J100250";"1";;"J244";
"31000067";"J101757";"1";"Black Hole";"J244";
"31000066";"J104140";"1";;"J244";
"31000065";"J140741";"1";"Black Hole";"J244";
"31000064";"J115549";"1";;"J244";
"31000063";"J225555";"1";"Magnetar";"J244";
"31000312";"J134610";"1";"Wolf-Rayet Star";"N110";
"31000300";"J154354";"1";"Magnetar";"N110";
"31000299";"J105642";"1";;"N110";
"31000298";"J142119";"1";;"N110";
"31000297";"J165741";"1";"Cataclysmic Variable";"N110";
"31000296";"J102749";"1";;"N110";
"31000295";"J124451";"1";;"N110";
"31000294";"J134540";"1";;"N110";
"31000293";"J142136";"1";;"N110";
"31000301";"J102005";"1";;"N110";
"31000302";"J133052";"1";;"N110";
"31000303";"J103341";"1";;"N110";
"31000311";"J171805";"1";"Red Giant";"N110";
"31000310";"J101845";"1";;"N110";
"31000309";"J160334";"1";"Black Hole";"N110";
"31000308";"J161107";"1";;"N110";
"31000307";"J103547";"1";;"N110";
"31000306";"J120431";"1";;"N110";
"31000305";"J152353";"1";;"N110";
"31000304";"J142114";"1";;"N110";
"31000292";"J102918";"1";;"N110";
"31000291";"J223026";"1";;"N110";
"31000279";"J102734";"1";;"N110";
"31000278";"J223650";"1";;"N110";
"31000277";"J144228";"1";"Red Giant";"N110";
"31000276";"J155504";"1";;"N110";
"31000275";"J110126";"1";;"N110";
"31000274";"J142941";"1";"Magnetar";"N110";
"31000273";"J120338";"1";"Wolf-Rayet Star";"N110";
"31000272";"J163156";"1";;"N110";
"31000280";"J105232";"1";;"N110";
"31000281";"J133128";"1";;"N110";
"31000282";"J140135";"1";"Pulsar";"N110";
"31000290";"J143421";"1";;"N110";
"31000289";"J120256";"1";;"N110";
"31000288";"J212504";"1";"Wolf-Rayet Star";"N110";
"31000287";"J114914";"1";"Cataclysmic Variable";"N110";
"31000286";"J165216";"1";"Red Giant";"N110";
"31000285";"J164756";"1";;"N110";
"31000284";"J153311";"1";;"N110";
"31000283";"J115216";"1";;"N110";
"31000271";"J150539";"1";"Black Hole";"N110";
"31000354";"J144822";"1";;"N110";
"31000342";"J111811";"1";;"N110";
"31000341";"J212904";"1";;"N110";
"31000340";"J112406";"1";"Cataclysmic Variable";"N110";
"31000339";"J171312";"1";;"N110";
"31000338";"J231306";"1";"Wolf-Rayet Star";"N110";
"31000337";"J151332";"1";;"N110";
"31000336";"J155833";"1";"Magnetar";"N110";
"31000335";"J152257";"1";;"N110";
"31000343";"J104201";"1";;"N110";
"31000344";"J150216";"1";;"N110";
"31000345";"J112934";"1";;"N110";
"31000353";"J142327";"1";;"N110";
"31000352";"J141807";"1";;"N110";
"31000351";"J131702";"1";"Pulsar";"N110";
"31000350";"J122224";"1";;"N110";
"31000349";"J150325";"1";;"N110";
"31000348";"J133259";"1";;"N110";
"31000347";"J121915";"1";;"N110";
"31000346";"J115808";"1";;"N110";
"31000334";"J161644";"1";;"N110";
"31000333";"J113918";"1";;"N110";
"31000321";"J172147";"1";;"N110";
"31000320";"J123828";"1";;"N110";
"31000319";"J170106";"1";;"N110";
"31000318";"J113632";"1";"Magnetar";"N110";
"31000317";"J161846";"1";;"N110";
"31000316";"J105013";"1";"Cataclysmic Variable";"N110";
"31000315";"J121935";"1";;"N110";
"31000314";"J155203";"1";"Wolf-Rayet Star";"N110";
"31000322";"J164759";"1";;"N110";
"31000323";"J212957";"1";;"N110";
"31000324";"J212338";"1";;"N110";
"31000332";"J133245";"1";"Red Giant";"N110";
"31000331";"J143517";"1";"Black Hole";"N110";
"31000330";"J134833";"1";;"N110";
"31000329";"J161344";"1";"Black Hole";"N110";
"31000328";"J125650";"1";;"N110";
"31000327";"J121941";"1";;"N110";
"31000326";"J112744";"1";;"N110";
"31000325";"J115823";"1";;"N110";
"31000313";"J173842";"1";;"N110";
"31000270";"J142649";"1";;"N110";
"31000227";"J151601";"1";;"N110";
"31000215";"J130542";"1";;"N110";
"31000214";"J114313";"1";;"N110";
"31000213";"J171019";"1";"Cataclysmic Variable";"N110";
"31000212";"J104103";"1";;"N110";
"31000211";"J100211";"1";;"N110";
"31000210";"J152014";"1";;"N110";
"31000209";"J114107";"1";;"N110";
"31000208";"J233359";"1";;"N110";
"31000216";"J114719";"1";;"N110";
"31000217";"J130322";"1";;"N110";
"31000218";"J161524";"1";"Pulsar";"N110";
"31000226";"J120621";"1";;"N110";
"31000225";"J231004";"1";"Cataclysmic Variable";"N110";
"31000224";"J162118";"1";"Cataclysmic Variable";"N110";
"31000223";"J220654";"1";;"N110";
"31000222";"J141514";"1";;"N110";
"31000221";"J113050";"1";;"N110";
"31000220";"J121158";"1";"Black Hole";"N110";
"31000219";"J162858";"1";;"N110";
"31000207";"J223703";"1";;"N110";
"31000206";"J155029";"1";"Black Hole";"N110";
"31000194";"J110051";"1";;"N110";
"31000193";"J232715";"1";;"N110";
"31000192";"J115738";"1";"Pulsar";"N110";
"31000191";"J155935";"1";;"N110";
"31000190";"J112250";"1";;"N110";
"31000189";"J114420";"1";;"N110";
"31000188";"J150818";"1";"Pulsar";"N110";
"31000187";"J142617";"1";;"N110";
"31000195";"J152928";"1";;"N110";
"31000196";"J132216";"1";;"N110";
"31000197";"J132758";"1";"Cataclysmic Variable";"N110";
"31000205";"J115200";"1";;"N110";
"31000204";"J131551";"1";"Black Hole";"N110";
"31000203";"J101817";"1";;"N110";
"31000202";"J122717";"1";;"N110";
"31000201";"J104439";"1";"Wolf-Rayet Star";"N110";
"31000200";"J120335";"1";;"N110";
"31000199";"J102849";"1";;"N110";
"31000198";"J134145";"1";"Pulsar";"N110";
"31000186";"J125925";"1";;"N110";
"31000269";"J170544";"1";;"N110";
"31000257";"J160307";"1";"Red Giant";"N110";
"31000256";"J143002";"1";"Black Hole";"N110";
"31000255";"J122712";"1";;"N110";
"31000254";"J151518";"1";;"N110";
"31000253";"J163533";"1";"Pulsar";"N110";
"31000252";"J122114";"1";;"N110";
"31000251";"J205004";"1";;"N110";
"31000250";"J122843";"1";"Pulsar";"N110";
"31000258";"J213932";"1";;"N110";
"31000259";"J102414";"1";;"N110";
"31000260";"J170949";"1";;"N110";
"31000268";"J130155";"1";;"N110";
"31000267";"J102837";"1";"Cataclysmic Variable";"N110";
"31000266";"J215754";"1";"Red Giant";"N110";
"31000265";"J124215";"1";"Magnetar";"N110";
"31000264";"J172003";"1";;"N110";
"31000263";"J141038";"1";"Wolf-Rayet Star";"N110";
"31000262";"J103320";"1";;"N110";
"31000261";"J235001";"1";;"N110";
"31000249";"J110605";"1";;"N110";
"31000248";"J140019";"1";"Black Hole";"N110";
"31000236";"J163743";"1";;"N110";
"31000235";"J141150";"1";;"N110";
"31000234";"J143628";"1";;"N110";
"31000233";"J215431";"1";;"N110";
"31000232";"J105700";"1";;"N110";
"31000231";"J104335";"1";"Wolf-Rayet Star";"N110";
"31000230";"J100422";"1";"Red Giant";"N110";
"31000229";"J143133";"1";;"N110";
"31000228";"J105837";"1";;"N110";
"31000237";"J161509";"1";;"N110";
"31000238";"J150629";"1";;"N110";
"31000247";"J223855";"1";"Red Giant";"N110";
"31000246";"J143649";"1";;"N110";
"31000245";"J213653";"1";;"N110";
"31000244";"J112129";"1";;"N110";
"31000243";"J151141";"1";;"N110";
"31000242";"J124051";"1";;"N110";
"31000241";"J123748";"1";;"N110";
"31000240";"J130045";"1";;"N110";
"31000239";"J141017";"1";;"N110";
"31000364";"J103406";"2";"Pulsar";"O477";"B274"
"31000363";"J144153";"2";;"O477";"B274"
"31000362";"J104253";"2";;"O477";"B274"
"31000361";"J222822";"2";;"O477";"B274"
"31000360";"J141156";"2";;"O477";"B274"
"31000359";"J124508";"2";;"O477";"B274"
"31000358";"J101524";"2";;"O477";"B274"
"31000357";"J113057";"2";;"O477";"B274"
"31000356";"J125227";"2";"Pulsar";"O477";"B274"
"31000355";"J164417";"2";;"O477";"B274"
"31000365";"J133210";"2";;"O477";"B274"
"31000680";"J135141";"2";;"D382";"A239"
"31000668";"J102504";"2";;"D382";"A239"
"31000667";"J155035";"2";;"D382";"A239"
"31000666";"J142847";"2";"Magnetar";"D382";"A239"
"31000665";"J125727";"2";"Black Hole";"D382";"A239"
"31000664";"J122837";"2";;"D382";"A239"
"31000663";"J101415";"2";"Red Giant";"D382";"A239"
"31000662";"J214725";"2";;"D382";"A239"
"31000661";"J103854";"2";;"D382";"A239"
"31000660";"J235924";"2";;"D382";"A239"
"31000669";"J160305";"2";;"D382";"A239"
"31000670";"J151503";"2";"Red Giant";"D382";"A239"
"31000679";"J142055";"2";;"D382";"A239"
"31000678";"J100509";"2";;"D382";"A239"
"31000677";"J100808";"2";;"D382";"A239"
"31000676";"J104802";"2";;"D382";"A239"
"31000675";"J112956";"2";"Black Hole";"D382";"A239"
"31000674";"J113323";"2";"Wolf-Rayet Star";"D382";"A239"
"31000673";"J214901";"2";"Wolf-Rayet Star";"D382";"A239"
"31000672";"J131034";"2";"Wolf-Rayet Star";"D382";"A239"
"31000671";"J142838";"2";"Red Giant";"D382";"A239"
"31000659";"J143706";"2";;"D382";"A239"
"31000658";"J121658";"2";"Wolf-Rayet Star";"D382";"A239"
"31000657";"J103512";"2";;"D382";"A239"
"31000645";"J110910";"2";;"D382";"A239"
"31000644";"J204221";"2";;"D382";"A239"
"31000643";"J134349";"2";"Cataclysmic Variable";"D382";"A239"
"31000642";"J235852";"2";"Black Hole";"D382";"A239"
"31000641";"J212238";"2";"Cataclysmic Variable";"D382";"A239"
"31000640";"J101346";"2";;"D382";"A239"
"31000639";"J141015";"2";;"D382";"A239"
"31000638";"J140816";"2";;"D382";"A239"
"31000637";"J163446";"2";;"D382";"A239"
"31000646";"J131753";"2";;"D382";"A239"
"31000647";"J113221";"2";;"D382";"A239"
"31000656";"J150109";"2";;"D382";"A239"
"31000655";"J214854";"2";;"D382";"A239"
"31000654";"J131706";"2";"Cataclysmic Variable";"D382";"A239"
"31000653";"J135827";"2";"Red Giant";"D382";"A239"
"31000652";"J162516";"2";;"D382";"A239"
"31000651";"J155551";"2";;"D382";"A239"
"31000650";"J143320";"2";"Magnetar";"D382";"A239"
"31000649";"J144727";"2";;"D382";"A239"
"31000648";"J152941";"2";;"D382";"A239"
"31000636";"J145619";"2";;"D382";"A239"
"31000725";"J124028";"2";;"N062";"E545"
"31000713";"J123850";"2";;"N062";"E545"
"31000712";"J112309";"2";;"N062";"E545"
"31000711";"J123412";"2";"Cataclysmic Variable";"N062";"E545"
"31000710";"J151125";"2";"Magnetar";"N062";"E545"
"31000709";"J123555";"2";;"N062";"E545"
"31000708";"J211000";"2";"Red Giant";"N062";"E545"
"31000707";"J103924";"2";;"N062";"E545"
"31000706";"J130709";"2";;"N062";"E545"
"31000705";"J214929";"2";;"N062";"E545"
"31000714";"J163923";"2";;"N062";"E545"
"31000715";"J143546";"2";;"N062";"E545"
"31000724";"J161411";"2";"Wolf-Rayet Star";"N062";"E545"
"31000723";"J122638";"2";;"N062";"E545"
"31000722";"J120455";"2";;"N062";"E545"
"31000721";"J142937";"2";;"N062";"E545"
"31000720";"J165157";"2";"Red Giant";"N062";"E545"
"31000719";"J212607";"2";;"N062";"E545"
"31000718";"J113449";"2";"Magnetar";"N062";"E545"
"31000717";"J221337";"2";;"N062";"E545"
"31000716";"J130832";"2";;"N062";"E545"
"31000704";"J141438";"2";;"N062";"E545"
"31000703";"J121745";"2";"Cataclysmic Variable";"N062";"E545"
"31000702";"J150627";"2";;"N062";"E545"
"31000690";"J111141";"2";;"D382";"A239"
"31000689";"J143455";"2";;"D382";"A239"
"31000688";"J110555";"2";;"D382";"A239"
"31000687";"J224217";"2";;"D382";"A239"
"31000686";"J115347";"2";;"D382";"A239"
"31000685";"J112916";"2";;"D382";"A239"
"31000684";"J225805";"2";;"D382";"A239"
"31000683";"J164613";"2";"Magnetar";"D382";"A239"
"31000682";"J235759";"2";"Cataclysmic Variable";"D382";"A239"
"31000691";"J104606";"2";"Pulsar";"D382";"A239"
"31000692";"J222830";"2";"Pulsar";"D382";"A239"
"31000701";"J105439";"2";;"D382";"A239"
"31000700";"J121928";"2";"Red Giant";"D382";"A239"
"31000699";"J121952";"2";;"D382";"A239"
"31000698";"J215944";"2";;"D382";"A239"
"31000697";"J131618";"2";;"D382";"A239"
"31000696";"J223538";"2";;"D382";"A239"
"31000695";"J143702";"2";"Black Hole";"D382";"A239"
"31000694";"J115310";"2";;"D382";"A239"
"31000693";"J123249";"2";;"D382";"A239"
"31000681";"J151902";"2";;"D382";"A239"
"31000590";"J134730";"2";"Black Hole";"D382";"A239"
"31000578";"J110538";"2";"Red Giant";"D382";"A239"
"31000577";"J214238";"2";"Magnetar";"D382";"A239"
"31000576";"J170558";"2";"Black Hole";"D382";"A239"
"31000575";"J150853";"2";;"D382";"A239"
"31000574";"J123435";"2";;"D382";"A239"
"31000573";"J131124";"2";;"D382";"A239"
"31000572";"J104850";"2";;"D382";"A239"
"31000571";"J134107";"2";;"D382";"A239"
"31000570";"J163146";"2";"Cataclysmic Variable";"D382";"A239"
"31000579";"J143336";"2";;"D382";"A239"
"31000580";"J232044";"2";"Cataclysmic Variable";"D382";"A239"
"31000589";"J114749";"2";;"D382";"A239"
"31000588";"J115334";"2";"Cataclysmic Variable";"D382";"A239"
"31000587";"J152825";"2";;"D382";"A239"
"31000586";"J135155";"2";;"D382";"A239"
"31000585";"J115911";"2";"Wolf-Rayet Star";"D382";"A239"
"31000584";"J234542";"2";;"D382";"A239"
"31000583";"J223853";"2";;"D382";"A239"
"31000582";"J231210";"2";;"D382";"A239"
"31000581";"J145225";"2";"Black Hole";"D382";"A239"
"31000569";"J225316";"2";"Cataclysmic Variable";"D382";"A239"
"31000568";"J152737";"2";"Black Hole";"D382";"A239"
"31000567";"J142826";"2";"Wolf-Rayet Star";"D382";"A239"
"31000555";"J145211";"2";"Black Hole";"Y683";"B274"
"31000554";"J121412";"2";"Wolf-Rayet Star";"Y683";"B274"
"31000553";"J164931";"2";;"Y683";"B274"
"31000552";"J150700";"2";;"Y683";"B274"
"31000551";"J211908";"2";;"Y683";"B274"
"31000550";"J114712";"2";;"Y683";"B274"
"31000549";"J144956";"2";;"Y683";"B274"
"31000548";"J164507";"2";"Cataclysmic Variable";"Y683";"B274"
"31000547";"J105000";"2";"Magnetar";"Y683";"B274"
"31000556";"J174449";"2";;"Y683";"B274"
"31000557";"J133015";"2";;"Y683";"B274"
"31000566";"J130650";"2";"Cataclysmic Variable";"D382";"A239"
"31000565";"J125927";"2";"Red Giant";"D382";"A239"
"31000564";"J161246";"2";;"D382";"A239"
"31000563";"J105352";"2";;"D382";"A239"
"31000562";"J110413";"2";;"D382";"A239"
"31000561";"J150807";"2";;"D382";"A239"
"31000560";"J133557";"2";"Wolf-Rayet Star";"Y683";"B274"
"31000559";"J153229";"2";;"Y683";"B274"
"31000558";"J134534";"2";"Pulsar";"Y683";"B274"
"31000546";"J120442";"2";;"Y683";"B274"
"31000635";"J172350";"2";;"D382";"A239"
"31000623";"J135629";"2";;"D382";"A239"
"31000622";"J103144";"2";;"D382";"A239"
"31000621";"J102222";"2";"Cataclysmic Variable";"D382";"A239"
"31000620";"J150836";"2";"Magnetar";"D382";"A239"
"31000619";"J160927";"2";"Cataclysmic Variable";"D382";"A239"
"31000618";"J132458";"2";"Cataclysmic Variable";"D382";"A239"
"31000617";"J134949";"2";;"D382";"A239"
"31000616";"J124530";"2";;"D382";"A239"
"31000615";"J132712";"2";;"D382";"A239"
"31000624";"J115530";"2";;"D382";"A239"
"31000625";"J133111";"2";;"D382";"A239"
"31000634";"J132048";"2";;"D382";"A239"
"31000633";"J232147";"2";;"D382";"A239"
"31000632";"J231644";"2";"Wolf-Rayet Star";"D382";"A239"
"31000631";"J131808";"2";;"D382";"A239"
"31000630";"J104718";"2";"Wolf-Rayet Star";"D382";"A239"
"31000629";"J120704";"2";;"D382";"A239"
"31000628";"J152950";"2";"Cataclysmic Variable";"D382";"A239"
"31000627";"J111846";"2";;"D382";"A239"
"31000626";"J150904";"2";"Pulsar";"D382";"A239"
"31000614";"J164816";"2";;"D382";"A239"
"31000613";"J115314";"2";"Cataclysmic Variable";"D382";"A239"
"31000612";"J154735";"2";;"D382";"A239"
"31000600";"J163902";"2";"Red Giant";"D382";"A239"
"31000599";"J142918";"2";"Wolf-Rayet Star";"D382";"A239"
"31000598";"J132401";"2";;"D382";"A239"
"31000597";"J104517";"2";;"D382";"A239"
"31000596";"J132617";"2";;"D382";"A239"
"31000595";"J152322";"2";"Cataclysmic Variable";"D382";"A239"
"31000594";"J103351";"2";;"D382";"A239"
"31000593";"J114528";"2";"Red Giant";"D382";"A239"
"31000592";"J233129";"2";;"D382";"A239"
"31000601";"J214843";"2";"Wolf-Rayet Star";"D382";"A239"
"31000602";"J173322";"2";;"D382";"A239"
"31000611";"J115734";"2";"Cataclysmic Variable";"D382";"A239"
"31000610";"J223348";"2";;"D382";"A239"
"31000609";"J204623";"2";;"D382";"A239"
"31000608";"J153247";"2";"Wolf-Rayet Star";"D382";"A239"
"31000607";"J223320";"2";;"D382";"A239"
"31000606";"J144057";"2";;"D382";"A239"
"31000605";"J123907";"2";;"D382";"A239"
"31000604";"J232305";"2";"Pulsar";"D382";"A239"
"31000603";"J120252";"2";;"D382";"A239"
"31000591";"J105544";"2";"Cataclysmic Variable";"D382";"A239"
"31000803";"J232359";"2";;"Z647";"B274"
"31000823";"J122732";"2";;"Z647";"B274"
"31000824";"J144203";"2";;"Z647";"B274"
"31000825";"J140843";"2";;"Z647";"B274"
"31000826";"J155631";"2";;"Z647";"B274"
"31000827";"J235525";"2";;"Z647";"B274"
"31000828";"J121749";"2";;"Z647";"B274"
"31000829";"J162518";"2";"Black Hole";"Z647";"B274"
"31000830";"J132012";"2";;"Z647";"B274"
"31000831";"J102038";"2";"Red Giant";"Z647";"B274"
"31000832";"J150234";"2";"Cataclysmic Variable";"Z647";"B274"
"31000833";"J112520";"2";;"Z647";"B274"
"31000834";"J165412";"2";;"Z647";"B274"
"31000835";"J151102";"2";"Black Hole";"Z647";"B274"
"31000836";"J133049";"2";;"Z647";"B274"
"31000837";"J161628";"2";;"Z647";"B274"
"31000838";"J134306";"2";;"Z647";"B274"
"31000839";"J131842";"2";;"Z647";"B274"
"31000822";"J145426";"2";;"Z647";"B274"
"31000821";"J145145";"2";"Red Giant";"Z647";"B274"
"31000804";"J171539";"2";;"Z647";"B274"
"31000805";"J100102";"2";;"Z647";"B274"
"31000806";"J154249";"2";;"Z647";"B274"
"31000807";"J105311";"2";;"Z647";"B274"
"31000808";"J210536";"2";;"Z647";"B274"
"31000809";"J151248";"2";;"Z647";"B274"
"31000810";"J131852";"2";;"Z647";"B274"
"31000811";"J141611";"2";;"Z647";"B274"
"31000812";"J113723";"2";;"Z647";"B274"
"31000813";"J121323";"2";;"Z647";"B274"
"31000814";"J144422";"2";;"Z647";"B274"
"31000815";"J140722";"2";;"Z647";"B274"
"31000816";"J141637";"2";"Magnetar";"Z647";"B274"
"31000817";"J112617";"2";;"Z647";"B274"
"31000818";"J150754";"2";;"Z647";"B274"
"31000819";"J102946";"2";"Cataclysmic Variable";"Z647";"B274"
"31000820";"J115234";"2";;"Z647";"B274"
"31000840";"J232329";"2";"Black Hole";"Z647";"B274"
"31000841";"J164921";"2";"Cataclysmic Variable";"Z647";"B274"
"31000842";"J203814";"2";;"Z647";"B274"
"31000862";"J210355";"2";;"Z647";"B274"
"31000863";"J125029";"2";;"Z647";"B274"
"31000864";"J103619";"2";"Pulsar";"Z647";"B274"
"31000865";"J165014";"2";;"Z647";"B274"
"31000866";"J124611";"2";;"Z647";"B274"
"31000867";"J150418";"2";"Wolf-Rayet Star";"Z647";"B274"
"31000868";"J145440";"2";;"Z647";"B274"
"31000869";"J113223";"2";;"Z647";"B274"
"31000870";"J234915";"2";;"Z647";"B274"
"31000871";"J162042";"2";;"Z647";"B274"
"31000872";"J112019";"2";"Pulsar";"Z647";"B274"
"31000873";"J162332";"2";;"Z647";"B274"
"31000874";"J125350";"2";;"Z647";"B274"
"31000875";"J101710";"2";"Black Hole";"Z647";"B274"
"31000876";"J223029";"2";;"Z647";"B274"
"31000877";"J234810";"2";;"Z647";"B274"
"31000878";"J135230";"2";;"Z647";"B274"
"31000861";"J121720";"2";"Black Hole";"Z647";"B274"
"31000860";"J132103";"2";;"Z647";"B274"
